white_matter	csf
4508.664842310025	7303.752623299328
3915.9306198748104	3595.138834395763
3901.0588491812664	3674.57914468936
3898.400795510633	3609.853837779406
3902.212476149241	3613.7014444828033
3895.6164380980535	3597.7316234640175
3902.610788263341	3600.2476964476946
3906.0033041324386	3635.6341975300697
3899.3286066975525	3611.351679095062
3894.5335517838757	3618.5055881008907
3894.372405630358	3606.941308946062
3906.438174382922	3616.285649933203
3913.2406273269035	3640.1325497620815
3916.8963089864305	3638.2462997384973
3908.797427978565	3641.5531385170448
3905.2305680727786	3638.8906075537207
3900.136713084111	3619.0839093538557
3897.2474325003222	3610.4906349290063
3897.7086985171477	3619.109123731304
3901.5645920643783	3621.488395305421
3896.142241763585	3623.116600317246
3898.424551700341	3634.4780915002566
3905.520525566045	3624.3987782343015
3910.2538143864813	3644.645923325339
3910.3827577050615	3649.8604711721073
3903.1647034200264	3632.315556276972
3904.9464176481074	3635.505979738364
3893.3841481385157	3620.737328743129
3902.2131360433996	3631.1959306230415
3899.6510309834193	3630.443254632402
3902.289815744623	3632.5768201454266
3902.351713816695	3636.838586410316
3901.913808053082	3633.7334626513557
3898.0447166226804	3617.4068850154813
3903.1273534106526	3632.6460255643806
3904.076413189477	3635.1921412105494
3903.1738099594145	3630.670720505553
3903.617654770454	3632.5703824320353
3902.0085688542495	3629.5054943817695
3903.1084804377183	3629.6015236065195
3898.5450483736918	3623.6348362452277
3901.232665302628	3631.840238438265
3900.4062138584623	3629.6964798790377
3899.7200559124035	3631.021575885367
3897.7053990463546	3633.754921695993
3900.9473270684716	3626.6171069736415
3901.6762461560047	3631.824144154787
3903.114551463977	3629.8627874749736
3902.3791654136903	3634.6320601455263
3902.085512513136	3630.8525859088513
3902.5690829525206	3634.593970341296
3898.139081487353	3628.0194555406633
3902.06571568838	3626.607450403555
3896.522736735404	3626.581699549991
3904.855352254228	3633.9947265198102
3901.165884013783	3630.602051562715
3906.7934613978846	3645.5643704357985
3900.163504786948	3633.4759541157127
3899.7378730546843	3630.8370281014895
3898.681910422175	3630.457203011416
3899.532513992544	3631.5585884774055
3898.9990555547733	3634.6878536615823
3895.8029241872596	3618.0082747414303
3898.618032667627	3621.6418274745747
3896.0070954399143	3620.7695173100847
3896.814277974651	3623.193852877939
3899.6936601460616	3627.2565865038214
3902.7766856548	3630.2646080858
3905.628616229215	3630.140682103022
3901.9724066543613	3633.8976243428283
3903.4867317693984	3639.831050184933
3899.803070597549	3634.2093169661794
3899.14238456601	3632.995807991962
3897.552435580403	3623.1106990799713
3900.608141470978	3632.080043262082
3899.323855459611	3645.3782132235733
3903.186215969595	3644.9179167161114
3901.6940632982855	3647.2006225893624
3898.4715361644294	3645.271454476505
3900.8211553053575	3644.8438830121145
3897.7836624935585	3639.5198940376977
3902.3391758276825	3633.481855352988
3901.375070462043	3633.2350763396635
3905.1567919058525	3631.8472126277716
3903.7249535606343	3638.304239159017
3904.6876071591246	3632.4013924555197
3901.4834250828767	3634.5188636850667
3897.6032474306116	3626.3139979681455
3898.2269793892715	3624.867121883502
3898.4488358053754	3622.0468669420966
3899.4176924089566	3623.478721695494
3899.5227475589973	3626.281272925074
3898.2074465221785	3624.4840779367332
3903.920546189228	3638.498443512981
3899.141460714188	3637.159935603754
3903.2006016622518	3639.6186056430274
3900.721379308585	3636.175501931036
3899.7168884204425	3635.446430889497
3898.576459335639	3633.9088903412626
3900.612100835929	3635.030125423541
3904.073245697516	3629.0763134890312
3909.3836779490193	3636.368633332768
3915.721433426551	3664.3362062080487
3912.045954942267	3653.1866230908277
3906.146369186012	3658.071238126304
3908.8979958483274	3646.0091091358986
3903.150713663865	3642.568687804486
3907.0213888402473	3638.629880161382
3906.110075007292	3642.1727684309353
3909.7891169200316	3643.089069636931
3904.1812043818545	3639.4040151966583
3903.193606784171	3633.4190876474254
3904.488319123243	3631.8633069112493
3901.8041336439314	3642.0729838733737
3904.7191500999033	3639.358951202921
3907.309234672206	3646.38517889316
3903.355940747174	3642.2065664262386
3897.450151985828	3634.961992956819
3901.5952111533347	3637.7404027611824
3901.3807455518063	3635.4823747892638
3898.9153809754694	3632.9872243741074
3902.057137064319	3638.4485512342003
3895.3173740653997	3622.362314898259
3900.092236217825	3622.586561914715
3902.749761973131	3627.237809839764
3903.3620117734326	3625.45027142151
3904.54441012672	3639.531696512248
3904.123397653566	3635.7286173264724
3903.575421544307	3647.4307708430933
3896.693253385973	3631.0870259715093
3890.777698191081	3616.477171906587
3893.6902070492506	3618.052265782936
3904.5093037574848	3625.143407083202
3913.148110165875	3654.18500514256
3902.993130938804	3639.6797639202427
3903.234388243169	3639.2076649382307
3891.1799696701323	3607.945592235069
3893.839079171419	3624.81079189133
3890.0213275065526	3611.4997465030565
3896.5889901089226	3621.7469767932957
3901.420603158983	3615.6644105909645
3905.4260287225407	3640.1432792844
3902.0690151591725	3636.680862432235
3900.598375037431	3632.734544123508
3895.1208575849837	3621.8596367776395
3895.6424379279006	3618.2920706067534
3895.7278282320167	3624.6734540056536
3903.7908109976574	3616.6998094946953
3905.4646985202317	3631.0575197851335
3903.0023694570236	3632.0618030741407
3897.3113102548696	3627.303259925907
3891.0295138019833	3613.0625014287393
3888.3582622481786	3616.84519452211
3884.712347022198	3595.250957903991
3890.5810497318334	3610.1344147880336
3897.324640116872	3618.49646800692
3903.419950480553	3620.3821815543884
3906.9282117850603	3631.5516142878982
3903.2374237562985	3629.354208117079
3900.553370255818	3631.9963529879983
3893.5611317518387	3628.6444502157133
3896.7907857426067	3623.242135728372
3890.9421438153913	3621.515755587333
3897.0827229183483	3622.4336662216765
3894.08152428527	3619.1160979208107
3902.941527215605	3621.043120129205
3895.4281043052038	3624.5017816485583
3894.600333072721	3628.8322168562863
3896.9613023931756	3621.1852862999244
3895.5220732333814	3624.4277479445614
3897.5606182679694	3622.0618882733424
3902.324790135026	3619.6461363233425
3902.780776998583	3634.1663988769055
3902.001573976169	3623.7941696516564
3900.6452275226884	3631.095073113248
3893.348513853954	3608.7830314520243
3893.6449383099743	3615.346816730338
3898.004067142514	3611.255113394196
3905.5083835135274	3627.7136641545876
3908.2960403968996	3632.227574193961
3906.2893022607536	3640.8943458466915
3894.1880312024596	3620.7748820712436
3896.658674932065	3611.6735647646155
3894.2590358139196	3606.8313313422977
3897.412010103464	3603.119989572345
3894.5645668093275	3616.5463773255415
3896.313286329481	3611.9949139580535
3898.3080143919415	3618.144003198759
3896.7628062302842	3613.215933597893
3904.31516289604	3635.6384893389973
3899.069136314411	3630.9201818994575
3898.7560825255955	3634.3396806623487
3897.1645497940085	3635.9845164337676
3900.831713611894	3627.6160255014897
3903.5405791327357	3626.835989228938
3900.908525291949	3616.436936197893
3898.1332744187575	3628.562369369977
3899.3961798593878	3615.9117260804046
3895.388114719196	3614.432661428806
3898.7729758160544	3614.54263903257
3904.279264653815	3627.967417357419
3900.4015945993524	3625.7437238569196
3903.7842120560717	3629.556996088898
3898.573555801341	3626.4668936611833
3903.38497609015	3625.8832076470594
3900.8592971877215	3617.1708355244755
3907.6996280564035	3626.720110387899
3906.320053328542	3624.1149823689784
3899.7587257100945	3623.8703492601176
3900.0354853201893	3621.037755368046
3900.888200551866	3623.445460176307
3901.847950616059	3621.187432204388
3901.5342369330847	3632.382079315347
3905.512210899647	3627.0500431991914
3906.5630263577195	3648.8320464578833
3908.965964946658	3641.850346285266
3909.6749552306023	3654.495088337563
3899.431550186286	3641.7629006783704
3901.3972429057703	3641.3927321583838
3896.0266283070073	3621.149342400158
3899.533833780861	3624.9390096830357
3900.6901003254698	3629.681995023908
3903.3174029283146	3632.4164137867656
3896.3831031314553	3629.2742731758067
3897.175108100545	3627.804865094294
3896.7757401557915	3619.1456041071865
3896.9671094617706	3622.1477244518896
3903.0835364385252	3618.2110627132492
3900.9223830692786	3627.109592048059
3903.2292410687323	3630.8080583912297
3898.165741211358	3624.5221677409636
3895.362114889349	3617.9583824626498
3895.404876030823	3613.473442133536
3898.1843502266292	3614.9589444985263
3901.825250257005	3625.4513443737414
3904.031144450201	3629.5795280857665
3904.406096311088	3625.600484733968
3903.8094200129285	3632.199140959817
3895.79909680114	3609.5131754457952
3898.2243398126375	3620.305465469811
3900.5400403938156	3622.709414945261
3901.6159318299133	3639.886307224873
3904.1389711557076	3618.0576305440954
3902.753193422756	3636.680325956119
3904.1032048923144	3629.3306031679786
3899.7554262393014	3633.252780051489
3898.24770006585	3622.872503684501
3897.067941289197	3614.549613222077
3901.49833869086	3621.625733191097
3904.6154147381794	3625.7378226196442
3907.6881458980447	3632.1342273497903
3904.8409665615713	3619.8269287744083
3902.3981703654567	3628.6015321264395
3901.8608845415665	3629.3568904976587
3897.507562777622	3612.177852313583
3895.0251729319943	3625.967970873375
3888.9875373177706	3602.901107317048
3892.7899794381588	3611.186444451358
3896.7657097645815	3597.3426782799734
3906.0710092731056	3625.9808463001573
3903.5351680006356	3618.865027098559
3900.19531168539	3627.1578748984916
3890.913108472415	3609.983664999459
3894.6528606477414	3618.907408711717
3893.4047368362626	3607.154289964083
3897.3263558416847	3614.141891373976
3899.4974076233093	3629.1573213825354
3898.991004846039	3632.627785376439
3904.0731137186845	3628.369774444361
3898.7356258066807	3626.1391067543545
3902.376921773551	3621.216938390764
3900.7389324932024	3622.083347317979
3900.3637166746516	3625.3917955248744
3905.542961967435	3639.109489809017
3897.273432330169	3613.0893252345354
3895.5616668828943	3626.9652799728756
3895.6046919820315	3609.083458076941
